"('mid',)","('genre',)"
tt0021890,Comedy
tt0021890,Crime
tt0021890,Drama
tt0021985,Comedy
tt0021992,Drama
tt0021992,Romance
tt0022000,Comedy
tt0022000,Drama
tt0022000,Musical
tt0022017,Drama
tt0022054,Drama
tt0022074,Comedy
tt0022074,Musical
tt0022074,Romance
tt0022080,Drama
tt0022080,Romance
tt0022100,Crime
tt0022100,Mystery
tt0022100,Thriller
tt0022111,Crime
tt0022111,Drama
tt0022111,Film-Noir
tt0022125,Comedy
tt0022125,Drama
tt0022125,Romance
tt0022150,Comedy
tt0022150,Musical
tt0022153,Drama
tt0022153,Romance
tt0022158,Comedy
tt0022158,Family
tt0022158,Musical
tt0022183,Drama
tt0022183,Romance
tt0022208,Comedy
tt0022208,Crime
tt0022208,Drama
tt0022236,Drama
tt0022236,Romance
tt0022251,Comedy
tt0022251,Crime
tt0022251,Drama
tt0022264,Drama
tt0022264,Thriller
tt0022268,Comedy
tt0022268,Romance
tt0022276,Drama
tt0022276,Romance
tt0022279,Comedy
tt0022279,Drama
tt0022279,Romance
tt0022286,Crime
tt0022286,Drama
tt0022335,Crime
tt0022335,Drama
tt0022395,Drama
tt0022403,Crime
tt0022403,Drama
tt0022436,Drama
tt0022436,Romance
tt0022453,Drama
tt0022453,Romance
tt0022454,Drama
tt0022454,Horror
tt0022454,Romance
tt0022458,Adventure
tt0022458,Drama
tt0022458,Romance
tt0022485,Comedy
tt0022485,Drama
tt0022489,Comedy
tt0022489,Romance
tt0022550,Drama
tt0022550,Romance
tt0022599,Comedy
tt0022599,Musical
tt0022626,Drama
tt0022628,Comedy
tt0022628,Drama
tt0022628,Romance
tt0022639,Crime
tt0022639,Mystery
tt0022639,Romance
tt0022660,Crime
tt0022660,Drama
tt0022660,Film-Noir
tt0022685,Drama
tt0022689,Adventure
tt0022689,Drama
tt0022689,Romance
tt0022694,Drama
tt0022694,Fantasy
tt0022694,Mystery
tt0022698,Drama
tt0022700,Comedy
tt0022700,Musical
tt0022718,Comedy
tt0022725,Drama
tt0022735,Drama
tt0022753,Action
tt0022753,Adventure
tt0022753,Comedy
tt0022787,Drama
tt0022787,War
tt0022792,Action
tt0022792,Drama
tt0022792,Sport
tt0022802,Comedy
tt0022827,Comedy
tt0022827,Crime
tt0022827,Horror
tt0022834,Drama
tt0022834,Romance
tt0022835,Horror
tt0022835,Sci-Fi
tt0022867,Drama
tt0022867,Romance
tt0022877,Comedy
tt0022877,Drama
tt0022879,Drama
tt0022879,Romance
tt0022879,War
tt0022905,Drama
tt0022905,Romance
tt0022913,Drama
tt0022913,Horror
tt0022958,Drama
tt0022958,Romance
tt0022991,Drama
tt0023027,Comedy
tt0023027,Family
tt0023027,Musical
tt0023028,Drama
tt0023028,Romance
tt0023042,Crime
tt0023042,Drama
tt0023042,Film-Noir
tt0023049,Comedy
tt0023049,Drama
tt0023074,Comedy
tt0023074,Crime
tt0023074,Romance
tt0023158,Comedy
tt0023158,Musical
tt0023158,Romance
tt0023181,Drama
tt0023181,Romance
tt0023194,Adventure
tt0023194,Horror
tt0023194,Sci-Fi
tt0023196,Crime
tt0023196,Drama
tt0023196,Romance
tt0023213,Comedy
tt0023213,Drama
tt0023213,Romance
tt0023225,Comedy
tt0023225,Sport
tt0023238,Action
tt0023238,Adventure
tt0023238,Horror
tt0023241,Comedy
tt0023241,Family
tt0023241,Romance
tt0023245,Fantasy
tt0023245,Horror
tt0023249,Crime
tt0023249,Horror
tt0023249,Mystery
tt0023277,Comedy
tt0023277,Drama
tt0023277,Romance
tt0023285,Crime
tt0023285,Mystery
tt0023285,Thriller
tt0023293,Comedy
tt0023293,Horror
tt0023293,Thriller
tt0023303,Comedy
tt0023303,Musical
tt0023303,Romance
tt0023305,Comedy
tt0023305,Drama
tt0023305,Romance
tt0023312,Comedy
tt0023312,War
tt0023327,Comedy
tt0023327,Drama
tt0023327,Mystery
tt0023349,Comedy
tt0023349,Drama
tt0023349,Romance
tt0023362,Comedy
tt0023362,Drama
tt0023369,Drama
tt0023374,Biography
tt0023374,Drama
tt0023374,History
tt0023382,Drama
tt0023382,Romance
tt0023385,Comedy
tt0023385,Romance
tt0023394,Comedy
tt0023394,Drama
tt0023394,Romance
tt0023395,Comedy
tt0023395,Drama
tt0023395,Romance
tt0023427,Action
tt0023427,Crime
tt0023427,Drama
tt0023458,Adventure
tt0023458,Drama
tt0023458,Romance
tt0023470,Drama
