"('mid',)","('pid',)"
tt0029146,nm0226189
tt0029162,nm0001008
tt0029192,nm0564970
tt0029201,nm0466099
tt0029201,nm0578985
tt0029217,nm0045800
tt0029217,nm0002031
tt0029222,nm0502752
tt0029284,nm0437717
tt0029310,nm0861703
tt0029314,nm0945537
tt0029322,nm0920074
tt0029335,nm0890085
tt0029347,nm0467396
tt0029440,nm0445033
tt0029440,nm0226189
tt0029442,nm0188669
tt0029442,nm0886754
tt0029453,nm0245213
tt0029454,nm0828419
tt0029511,nm0045800
tt0029516,nm0176699
tt0029546,nm0762263
tt0029557,nm0654868
tt0029583,nm0183183
tt0029583,nm0414144
tt0029583,nm0789313
tt0029583,nm0604392
tt0029583,nm0359457
tt0029583,nm0668998
tt0029604,nm0478441
tt0029605,nm0307819
tt0029606,nm0920074
tt0029606,nm0176699
tt0029606,nm0281808
tt0029608,nm0896542
tt0029650,nm0332539
tt0029658,nm0503777
tt0029660,nm0287988
tt0029675,nm0498174
tt0029675,nm0355284
tt0029682,nm0572851
tt0029695,nm0749484
tt0029747,nm0395023
tt0029751,nm0000406
tt0029808,nm0000485
tt0029811,nm0000033
tt0029842,nm0562845
tt0029842,nm0188669
tt0029843,nm0445033
tt0029843,nm0002031
tt0029844,nm0851537
tt0029850,nm0890565
tt0029850,nm0001178
tt0029852,nm0454771
tt0029855,nm0188669
tt0029864,nm0514822
tt0029870,nm0002031
tt0029923,nm0090007
tt0029929,nm0523932
tt0029942,nm0851537
tt0029947,nm0001328
tt0029957,nm0719756
tt0029971,nm0762263
tt0029984,nm0401680
tt0029992,nm0547446
tt0029995,nm0896542
tt0030018,nm0693281
tt0030018,nm0374702
tt0030018,nm0943758
tt0030026,nm0782597
tt0030026,nm0166058
tt0030044,nm0332539
tt0030063,nm0924065
tt0030127,nm0656528
tt0030149,nm0002031
tt0030151,nm0002031
tt0030202,nm0903049
tt0030202,nm0281808
tt0030202,nm0245213
tt0030241,nm0002030
tt0030252,nm0138893
tt0030287,nm0943758
tt0030341,nm0000033
tt0030386,nm0782707
tt0030396,nm0419265
tt0030413,nm0097648
tt0030418,nm0886754
tt0030418,nm0245213
tt0030424,nm0719756
tt0030442,nm0572851
tt0030473,nm0631438
tt0030517,nm0113284
tt0030522,nm0726166
tt0030523,nm0726166
tt0030637,nm0002190
tt0030637,nm0001366
tt0030643,nm0138893
tt0030657,nm0245385
tt0030696,nm0782682
tt0030743,nm0097648
tt0030744,nm0693281
